"INDEX","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_PITCHING_H","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP","TEAM_BATTING_1B","TARGET_WINS"
1098,325,30,166,470,1145,89,1461,470,1145,103,174,940,79
1150,294,36,187,590,999,89,1458,590,999,101,136,941,92
1160,237,64,25,360,814,129,1734,482,1090,609,124,969,59
1169,263,58,118,591,675,155,1431,591,675,155,151,992,85
1172,305,59,98,498,644,216,1469,498,644,150,153,1007,86
1174,266,59,115,508,709,185,1633,508,709,141,150,1193,89
1176,295,58,132,442,758,133,1603,442,758,127,140,1118,90
1178,269,52,117,400,832,106,1487,400,832,129,157,1049,80
1184,318,44,101,501,884,108,1483,504,889,123,162,1011,80
1193,296,52,152,538,938,128,1604,541,944,126,190,1094,82
1196,285,42,140,524,921,140,1415,524,921,130,153,948,81
1199,289,34,126,424,1008,53,1445,424,1008,125,163,996,74
1207,199,81,29,408,508,386,1576,472,588,581,89,1053,80
1218,195,106,30,522,288,297,1721,571,315,344,115,1241,91
1223,168,56,16,435,675,217,1280,461,690,363,92,969,69
1226,155,69,20,368,666,132,1359,403,713,287,103,998,67
1227,116,63,29,340,819,119,1155,358,845,254,69,890,65
1229,175,77,26,457,743,159,1299,481,782,246,131,957,66
1241,247,80,59,357,335,83,1737,376,352,219,146,1265,84
1244,265,85,68,463,406,39,1813,490,430,221,138,1294,88
1246,206,78,41,390,523,112,1473,413,554,239,124,1066,75
1248,299,73,105,534,481,85,1721,565,509,203,120,1148,93
1249,319,77,128,506,569,56,1830,532,599,178,176,1216,88
1253,303,55,84,584,592,59,1733,622,631,192,150,1184,85
1261,277,36,65,602,509,85,1547,633,535,145,158,1093,85
1305,232,14,130,478,966,155,1373,478,966,179,118,997,76
1314,215,35,158,527,1151,143,1649,593,1295,146,135,1058,77
1323,226,30,203,536,1092,102,1450,536,1092,73,145,991,95
1328,223,57,18,259,391,303,2985,524,792,780,75,1176,80
1353,228,49,120,500,909,106,1335,500,909,127,168,938,75
1363,233,36,97,435,677,52,1464,438,681,137,157,1089,78
1371,272,35,82,511,779,256,1477,511,779,89,146,1088,93
1372,240,25,125,555,932,138,1426,555,932,131,148,1036,80
1389,183,61,11,304,814,161,1346,326,873,336,104,1000,62
1393,141,79,9,392,585,181,1347,418,609,294,95,1035,71
1421,310,89,66,610,421,110,1795,646,446,193,173,1230,89
1431,274,66,63,538,674,54,1536,566,709,222,170,1057,72
1437,237,46,53,610,639,50,1419,642,672,137,160,1013,78
1442,226,40,117,554,771,14,1410,583,811,135,167,957,75
1450,257,42,150,554,969,92,1396,554,969,172,158,947,74
1463,259,47,82,604,684,99,1472,604,684,146,171,1084,80
1464,256,46,112,526,693,66,1544,526,693,134,203,1130,78
1470,282,41,141,502,779,68,1453,502,779,120,139,989,87
1471,257,39,196,501,977,81,1446,501,977,118,168,954,82
1484,289,30,106,506,990,119,1486,512,1002,93,146,1043,86
1507,195,31,103,353,932,36,1372,353,932,166,154,1043,65
1514,203,29,98,547,958,89,1365,547,958,112,135,1035,79
1526,172,26,112,436,1031,141,1314,436,1031,151,171,1004,64
1549,323,41,200,547,1071,146,1469,547,1071,104,131,905,92
1552,185,86,32,326,642,313,2073,489,963,680,98,1079,72
1556,218,135,29,449,459,252,2000,547,559,488,93,1260,88
1564,153,65,17,437,538,201,1420,469,560,352,101,1089,73
1585,313,116,160,677,599,96,1862,712,630,219,139,1181,99
1586,293,83,164,792,587,146,1869,839,622,177,139,1225,104
1590,277,76,113,657,510,74,1729,714,554,164,124,1124,96
1591,334,88,193,741,629,82,1879,785,666,173,157,1160,101
1592,297,77,183,746,639,63,1720,785,672,178,141,1078,98
1603,264,79,146,655,503,25,1638,689,529,126,169,1068,95
1612,210,57,153,591,746,52,1562,622,785,129,193,1065,81
1634,229,41,152,515,597,66,1479,521,604,124,185,1039,84
1645,208,19,147,427,1027,119,1322,427,1027,126,164,948,71
1647,281,18,163,536,903,78,1462,536,903,112,165,1000,83
1673,217,115,23,517,357,275,1638,551,377,280,123,1182,88
1674,236,85,35,565,579,234,1583,598,613,224,114,1139,86
1687,280,70,66,565,488,60,1585,610,527,187,141,1052,84
1688,296,74,59,580,343,103,1777,610,361,204,130,1260,94
1700,301,59,104,536,567,64,1634,571,604,224,140,1069,84
1708,229,55,64,636,592,39,1451,669,623,150,169,1031,78
1713,223,37,94,718,590,55,1444,755,621,147,156,1019,83
1717,215,43,118,505,765,42,1466,531,805,175,197,1018,68
1721,223,36,116,540,783,17,1442,568,824,134,157,996,77
1730,210,28,148,617,953,100,1400,617,953,137,162,1014,78
1737,209,33,114,596,823,343,1335,600,828,145,131,971,85
1748,263,33,199,593,1056,140,1432,593,1056,142,122,937,86
1749,251,22,156,580,926,129,1474,580,926,105,151,1045,88
1763,279,28,205,609,1008,46,1450,609,1008,102,144,938,90
1778,281,102,35,391,473,580,2033,476,576,643,67,1251,97
1780,291,79,52,650,604,307,1987,792,736,566,122,1209,86
1784,230,52,29,324,591,273,1932,477,870,658,103,1001,69
1794,336,90,75,573,324,341,2545,709,401,456,131,1557,104
1803,181,58,25,402,550,169,1440,428,559,427,99,1087,72
1804,199,87,17,433,453,192,1548,461,474,293,106,1149,81
1819,242,57,68,300,562,106,1552,318,595,246,143,1099,73
1832,256,44,64,406,511,59,1635,433,545,195,166,1170,76
1833,311,38,61,433,581,57,1749,471,632,214,152,1199,78
1844,207,28,59,472,527,57,1414,497,554,246,158,1050,69
1847,239,41,96,463,629,72,1513,487,662,221,133,1062,77
1854,225,53,139,686,708,46,1439,722,745,116,123,951,92
1855,218,52,127,615,708,47,1453,647,745,151,147,984,82
1857,250,59,130,603,916,54,1576,634,964,136,143,1059,83
1864,206,53,145,497,1098,46,1398,500,1105,158,154,985,70
1865,224,49,117,510,969,56,1448,510,969,113,147,1058,80
1869,225,58,102,522,1073,72,1315,525,1080,113,135,922,76
1880,250,38,104,563,654,156,2297,852,990,130,136,1125,90
1881,245,25,112,506,831,128,1417,506,831,121,138,1035,83
1882,209,45,125,640,906,143,1352,640,906,152,117,973,83
1894,296,34,106,559,995,81,1640,629,1119,108,156,1022,81
1896,290,35,116,519,1032,92,1390,519,1032,105,134,949,82
1916,257,80,52,515,573,284,1810,632,703,471,113,1086,81
1918,178,85,35,512,604,246,1654,614,725,570,117,1080,74
1921,277,155,60,541,259,319,2264,674,323,441,114,1325,102
1926,213,133,29,418,375,195,1860,454,408,392,127,1336,86
1938,217,112,52,552,613,168,1489,581,645,243,138,1034,79
1979,190,32,97,511,762,45,1329,538,802,190,176,944,65
1982,221,63,96,495,686,23,1397,521,722,175,184,948,69
1987,248,59,126,511,786,36,1653,538,827,135,171,1138,81
1997,235,70,130,444,871,66,1522,444,871,137,195,1087,74
2004,278,57,133,474,878,260,1550,474,878,145,137,1082,87
2011,237,33,98,438,841,96,1412,438,841,128,142,1044,78
2015,243,46,111,560,959,120,1361,567,971,126,130,944,80
2022,276,30,141,513,1094,95,1621,577,1231,136,155,994,75
2025,271,35,107,393,1060,159,1395,393,1060,140,161,982,70
2027,320,31,168,564,1032,86,1506,564,1032,132,169,987,80
2031,269,39,143,418,1073,63,1446,421,1080,104,190,986,73
2066,194,53,94,537,775,101,1332,540,780,141,155,983,76
2073,239,25,136,484,917,96,1442,484,917,135,135,1042,80
2087,279,37,157,602,1177,131,1413,602,1177,141,155,940,76
2092,269,39,130,600,977,99,1416,600,977,109,136,978,86
2125,216,97,33,360,712,361,2203,521,1030,743,96,1177,77
2148,169,51,24,546,619,217,1370,578,645,244,79,1050,80
2162,251,98,79,497,413,145,1766,526,437,198,164,1240,88
2191,215,53,140,660,662,44,1496,694,696,144,190,1014,80
2203,231,31,200,513,807,72,1496,504,792,139,150,1062,86
2218,227,41,134,568,842,90,1392,568,842,178,136,990,78
2221,200,44,80,512,845,101,1326,515,850,157,125,994,75
2225,229,26,112,528,980,126,1499,528,980,169,134,1132,76
2232,215,48,141,471,973,95,1345,471,973,108,151,941,79
2267,210,139,66,542,355,233,1988,665,436,523,124,1205,90
2291,185,80,34,413,579,149,1682,519,727,276,146,1040,69
2299,272,86,95,503,545,87,1705,529,573,208,148,1168,86
2317,288,62,105,572,498,39,1667,602,524,118,170,1130,92
2318,269,46,67,542,513,58,1658,570,540,143,158,1194,86
2353,300,49,101,451,781,117,1541,451,781,122,174,1091,82
2403,175,18,59,529,974,133,1209,556,1025,175,155,897,60
2411,265,27,125,483,593,92,1636,486,597,148,170,1209,85
2415,228,29,121,423,812,82,1470,426,817,139,139,1083,79
2424,284,39,181,483,984,113,1472,483,984,130,145,968,83
2441,218,39,99,451,649,28,1374,454,653,131,164,1010,76
2464,287,36,195,470,1094,156,1489,470,1094,97,184,971,83
2465,305,38,187,522,1142,71,1457,522,1142,107,159,927,82
2481,221,98,56,638,451,319,2031,789,558,492,121,1267,90
2500,162,23,95,492,860,71,1299,511,893,139,146,971,70
2501,190,23,125,695,777,77,1345,695,777,163,156,1007,77
2520,263,37,102,463,976,196,1381,463,976,124,113,979,82
2521,270,36,122,542,860,228,1410,542,860,159,144,982,81
2525,339,34,172,420,1084,75,1423,420,1084,131,150,878,77
